arouse	вызывать, пробуждать	Something aroused their interest.
timid	робкий, пугливый	The cat was timid and always hiding somewhere.
evoke	вызывать	Red evokes aggression.
susceptible	восприимчивый, подверженный	Heavy users are susceptible to hallucinations.
coarse	грубый, крупный, шероховатый	The sacks are sewn of coarse fabric.
ham	ветчина	This ham is nice; cut me a slice.
entity	сущность	It's some supernatural entity.
show around	показать места	I've grown up here, let me show you around.
bend down	наклониться	Kathy bent down to tie the lace of her sneaker.
withhold	утаивать, удерживать	They had no right to withhold this fact anymore.
briefcase	портфель	Half an hour ago, I put it in my briefcase.
timid	робкий, пугливый	The cat was timid and always hiding somewhere.
evoke	вызывать	Red evokes aggression.
susceptible	восприимчивый, подверженный	Heavy users are susceptible to hallucinations.
coarse	грубый, крупный, шероховатый	The sacks are sewn of coarse fabric.
ham	ветчина	This ham is nice; cut me a slice.
entity	сущность	It's some supernatural entity.
show around	показать места	I've grown up here, let me show you around.
bend down	наклониться	Kathy bent down to tie the lace of her sneaker.
withhold	утаивать, удерживать	They had no right to withhold this fact anymore.
adjective	прилагательное	Some languages do without adjectives.
cartoon	мультфильм	Leave me alone, I'm watching a cartoon.
overview	обзор	This book gives a basic overview of glaciology.
calf (pl:calves)	теленок	Keep in mind that calves need watering.
flick	фильм (разг.)	It's a weird flick but it's nothing wow.
temple	висок	The temple bone is the thinnest bone of the skull.
pervasive	расширяющийся, всепроникающий	This approach becomes pervasive.
roadside	обочина, придорожный	Poppies and cornflowers grow along the roadside.
veil	вуаль, закрывать	The lady with the veil is the artist's wife.
fuck with	дразнить, шутить, злить	Hey, don't fuck with my dog!
directory	справочник	Look him up in the directory.
flex	сгибать	Can you flex your fingers like that?
darling	дорогой/ая (устар.)	Don't speed up, darling.
dispense with	обойтись без, избавиться	We were able to dispense with their participation.
pluck	сорвать, выдернуть	She plucked a leaf and showed it to me.
make out	целоваться	I saw her making out with that guy from Queens.
insurgent	повстанец, мятежник	The city is under the control of the insurgents.
woo	ухаживать, добиваться	He was determined to woo her heart.
oyster	устрица	Oysters, mussels and some other shellfish.
righteous	праведный	Righteous anger gave her eloquence.
come under	подвергнуться	That night we came under dragon attack.
outset	начало	But I've been with you from the very outset!
tack	курс, линия поведения	Suddenly, the ship changed tack.
foyer	фойе	There was an ATM in the foyer of the museum.
text	писать (сообщение)	Please text me back as soon as you get my message.
plaque	бляшка, металлический знак	His eyes came to rest on a plaque on the wall.
chap	парень	Poor chap. He doesn't know the worst part yet.
ensemble	ансамбль	I was kicked out of the ensemble.
consent	согласие, разрешение	Jacob got his father's consent and blessing.
coil	катушка, моток, наматывать	Get the hatchet, a coil of rope, and come with me.
frog	лягушка	Frogs returned to my pond.
lame	хромой	In spite of being lame, he set out on the road.
smirk	ухмылка	So what was that smirk about?
homeland	родина	Jack left his homeland 20 years ago.
go on	продолжаться	Shit happens. Life goes on.
endow	наделять, даровать	The king endowed him with lands and honours.
track down	разыскать, отследить	Police tracked him down through the cell phone.
